date,store_location,product_detail,daily_qty
2023-01-01,Astoria,Spicy Eye Opener Chai Rg,6.0
2023-01-01,Astoria,Sustainably Grown Organic Lg,5.0
2023-01-01,Astoria,Sustainably Grown Organic Rg,13.0
2023-01-01,Astoria,Traditional Blend Chai Lg,2.0
2023-01-01,Astoria,Traditional Blend Chai Rg,9.0
2023-01-01,Hell's Kitchen,Almond Croissant,2.0
2023-01-01,Hell's Kitchen,Brazilian Lg,8.0
2023-01-01,Hell's Kitchen,Brazilian Rg,7.0
2023-01-01,Hell's Kitchen,Brazilian Sm,2.0
2023-01-01,Hell's Kitchen,Cappuccino,13.0
2023-01-01,Hell's Kitchen,Cappuccino Lg,6.0
2023-01-01,Hell's Kitchen,Chocolate Chip Biscotti,3.0
2023-01-01,Hell's Kitchen,Chocolate Croissant,2.0
2023-01-01,Hell's Kitchen,Columbian Medium Roast Lg,8.0
2023-01-01,Hell's Kitchen,Columbian Medium Roast Rg,6.0
2023-01-01,Hell's Kitchen,Columbian Medium Roast Sm,2.0
2023-01-01,Hell's Kitchen,Croissant,2.0
2023-01-01,Hell's Kitchen,Dark chocolate Lg,3.0
2023-01-01,Hell's Kitchen,Dark chocolate Rg,1.0
2023-01-01,Hell's Kitchen,Earl Grey Lg,6.0
2023-01-01,Hell's Kitchen,Earl Grey Rg,10.0
2023-01-01,Hell's Kitchen,English Breakfast Lg,10.0
2023-01-01,Hell's Kitchen,English Breakfast Rg,5.0
2023-01-01,Hell's Kitchen,Espresso shot,3.0
2023-01-01,Hell's Kitchen,Ethiopia Lg,5.0
2023-01-01,Hell's Kitchen,Ethiopia Rg,6.0
2023-01-01,Hell's Kitchen,Ethiopia Sm,4.0
2023-01-01,Hell's Kitchen,Ginger Biscotti,1.0
2023-01-01,Hell's Kitchen,Ginger Scone,3.0
2023-01-01,Hell's Kitchen,Jamaican Coffee River Lg,12.0
2023-01-01,Hell's Kitchen,Jamaican Coffee River Rg,10.0
2023-01-01,Hell's Kitchen,Jamaican Coffee River Sm,3.0
2023-01-01,Hell's Kitchen,Latte,7.0
2023-01-01,Hell's Kitchen,Latte Rg,8.0
2023-01-01,Hell's Kitchen,Lemon Grass Lg,2.0
2023-01-01,Hell's Kitchen,Lemon Grass Rg,6.0
2023-01-01,Hell's Kitchen,Morning Sunrise Chai Lg,6.0
2023-01-01,Hell's Kitchen,Morning Sunrise Chai Rg,13.0
2023-01-01,Hell's Kitchen,Oatmeal Scone,2.0
2023-01-01,Hell's Kitchen,Our Old Time Diner Blend Lg,8.0
2023-01-01,Hell's Kitchen,Our Old Time Diner Blend Rg,5.0
2023-01-01,Hell's Kitchen,Our Old Time Diner Blend Sm,7.0
2023-01-01,Hell's Kitchen,Ouro Brasileiro shot,3.0
2023-01-01,Hell's Kitchen,Peppermint Lg,9.0
2023-01-01,Hell's Kitchen,Peppermint Rg,5.0
2023-01-01,Hell's Kitchen,Scottish Cream Scone ,3.0
2023-01-01,Hell's Kitchen,Serenity Green Tea Lg,6.0
2023-01-01,Hell's Kitchen,Serenity Green Tea Rg,5.0
2023-01-01,Hell's Kitchen,Spicy Eye Opener Chai Lg,2.0
2023-01-01,Hell's Kitchen,Spicy Eye Opener Chai Rg,4.0
2023-01-01,Hell's Kitchen,Sustainably Grown Organic Lg,6.0
2023-01-01,Hell's Kitchen,Sustainably Grown Organic Rg,7.0
2023-01-01,Hell's Kitchen,Traditional Blend Chai Lg,11.0
2023-01-01,Hell's Kitchen,Traditional Blend Chai Rg,2.0
2023-01-01,Lower Manhattan,Brazilian Lg,4.0
2023-01-01,Lower Manhattan,Brazilian Rg,3.0
2023-01-01,Lower Manhattan,Brazilian Sm,16.0
2023-01-01,Lower Manhattan,Cappuccino,7.0
2023-01-01,Lower Manhattan,Cappuccino Lg,5.0
2023-01-01,Lower Manhattan,Chocolate Chip Biscotti,3.0
2023-01-01,Lower Manhattan,Chocolate Croissant,5.0
2023-01-01,Lower Manhattan,Columbian Medium Roast Lg,4.0
2023-01-01,Lower Manhattan,Columbian Medium Roast Rg,3.0
2023-01-01,Lower Manhattan,Columbian Medium Roast Sm,5.0
2023-01-01,Lower Manhattan,Cranberry Scone,2.0
2023-01-01,Lower Manhattan,Croissant,6.0
2023-01-01,Lower Manhattan,Dark chocolate Lg,3.0
2023-01-01,Lower Manhattan,Dark chocolate Rg,4.0
2023-01-01,Lower Manhattan,Earl Grey Lg,6.0
2023-01-01,Lower Manhattan,Earl Grey Rg,4.0
2023-01-01,Lower Manhattan,English Breakfast Lg,4.0
2023-01-01,Lower Manhattan,English Breakfast Rg,2.0
2023-01-01,Lower Manhattan,Espresso shot,9.0
2023-01-01,Lower Manhattan,Ethiopia Lg,4.0
2023-01-01,Lower Manhattan,Ethiopia Rg,4.0
2023-01-01,Lower Manhattan,Ethiopia Sm,6.0
2023-01-01,Lower Manhattan,Ginger Biscotti,2.0
2023-01-01,Lower Manhattan,Ginger Scone,4.0
2023-01-01,Lower Manhattan,Hazelnut Biscotti,4.0
2023-01-01,Lower Manhattan,Jamaican Coffee River Lg,5.0
2023-01-01,Lower Manhattan,Jamaican Coffee River Rg,1.0
2023-01-01,Lower Manhattan,Jamaican Coffee River Sm,5.0
2023-01-01,Lower Manhattan,Jumbo Savory Scone,2.0
2023-01-01,Lower Manhattan,Latte,7.0
2023-01-01,Lower Manhattan,Latte Rg,8.0
2023-01-01,Lower Manhattan,Lemon Grass Lg,9.0
2023-01-01,Lower Manhattan,Lemon Grass Rg,3.0
2023-01-01,Lower Manhattan,Morning Sunrise Chai Lg,1.0
2023-01-01,Lower Manhattan,Morning Sunrise Chai Rg,6.0
2023-01-01,Lower Manhattan,Oatmeal Scone,3.0
2023-01-01,Lower Manhattan,Our Old Time Diner Blend Lg,5.0
2023-01-01,Lower Manhattan,Our Old Time Diner Blend Rg,9.0
2023-01-01,Lower Manhattan,Our Old Time Diner Blend Sm,3.0
2023-01-01,Lower Manhattan,Ouro Brasileiro shot,4.0
2023-01-01,Lower Manhattan,Peppermint Lg,9.0
2023-01-01,Lower Manhattan,Peppermint Rg,5.0
2023-01-01,Lower Manhattan,Scottish Cream Scone ,2.0
2023-01-01,Lower Manhattan,Serenity Green Tea Lg,7.0
2023-01-01,Lower Manhattan,Serenity Green Tea Rg,2.0
2023-01-01,Lower Manhattan,Spicy Eye Opener Chai Lg,11.0
2023-01-01,Lower Manhattan,Spicy Eye Opener Chai Rg,10.0
2023-01-01,Lower Manhattan,Sustainably Grown Organic Lg,5.0
2023-01-01,Lower Manhattan,Sustainably Grown Organic Rg,8.0
2023-01-01,Lower Manhattan,Traditional Blend Chai Lg,4.0
2023-01-01,Lower Manhattan,Traditional Blend Chai Rg,2.0
2023-01-02,Astoria,Almond Croissant,4.0
2023-01-02,Astoria,Brazilian Lg,11.0
2023-01-02,Astoria,Brazilian Rg,11.0
2023-01-02,Astoria,Brazilian Sm,7.0
2023-01-02,Astoria,Cappuccino,7.0
2023-01-02,Astoria,Cappuccino Lg,1.0
2023-01-02,Astoria,Chocolate Chip Biscotti,3.0
2023-01-02,Astoria,Chocolate Croissant,2.0
2023-01-02,Astoria,Columbian Medium Roast Lg,7.0
2023-01-02,Astoria,Columbian Medium Roast Rg,6.0
2023-01-02,Astoria,Columbian Medium Roast Sm,4.0
2023-01-02,Astoria,Cranberry Scone,3.0
2023-01-02,Astoria,Croissant,4.0
2023-01-02,Astoria,Dark chocolate Lg,3.0
2023-01-02,Astoria,Dark chocolate Rg,6.0
2023-01-02,Astoria,Earl Grey Lg,9.0
2023-01-02,Astoria,Earl Grey Rg,5.0
2023-01-02,Astoria,English Breakfast Lg,8.0
2023-01-02,Astoria,English Breakfast Rg,4.0
2023-01-02,Astoria,Espresso shot,7.0
2023-01-02,Astoria,Ethiopia Lg,2.0
2023-01-02,Astoria,Ethiopia Rg,6.0
2023-01-02,Astoria,Ethiopia Sm,5.0
2023-01-02,Astoria,Ginger Biscotti,3.0
2023-01-02,Astoria,Ginger Scone,5.0
2023-01-02,Astoria,Hazelnut Biscotti,1.0
2023-01-02,Astoria,Jamaican Coffee River Lg,10.0
2023-01-02,Astoria,Jamaican Coffee River Rg,2.0
2023-01-02,Astoria,Jamaican Coffee River Sm,4.0
2023-01-02,Astoria,Jumbo Savory Scone,4.0
2023-01-02,Astoria,Latte,6.0
2023-01-02,Astoria,Latte Rg,10.0
2023-01-02,Astoria,Lemon Grass Lg,7.0
2023-01-02,Astoria,Lemon Grass Rg,4.0
2023-01-02,Astoria,Morning Sunrise Chai Lg,4.0
2023-01-02,Astoria,Morning Sunrise Chai Rg,8.0
2023-01-02,Astoria,Oatmeal Scone,4.0
2023-01-02,Astoria,Our Old Time Diner Blend Lg,15.0
2023-01-02,Astoria,Our Old Time Diner Blend Rg,10.0
2023-01-02,Astoria,Our Old Time Diner Blend Sm,10.0
2023-01-02,Astoria,Peppermint Lg,4.0
2023-01-02,Astoria,Peppermint Rg,4.0
2023-01-02,Astoria,Scottish Cream Scone ,3.0
2023-01-02,Astoria,Serenity Green Tea Lg,6.0
2023-01-02,Astoria,Serenity Green Tea Rg,10.0
2023-01-02,Astoria,Spicy Eye Opener Chai Lg,2.0
2023-01-02,Astoria,Spicy Eye Opener Chai Rg,3.0
2023-01-02,Astoria,Sustainably Grown Organic Lg,4.0
2023-01-02,Astoria,Sustainably Grown Organic Rg,8.0
2023-01-02,Astoria,Traditional Blend Chai Lg,12.0
2023-01-02,Astoria,Traditional Blend Chai Rg,13.0
2023-01-02,Hell's Kitchen,Almond Croissant,1.0
2023-01-02,Hell's Kitchen,Brazilian Lg,2.0
2023-01-02,Hell's Kitchen,Brazilian Rg,10.0
2023-01-02,Hell's Kitchen,Brazilian Sm,7.0
2023-01-02,Hell's Kitchen,Cappuccino,5.0
2023-01-02,Hell's Kitchen,Cappuccino Lg,8.0
2023-01-02,Hell's Kitchen,Chocolate Chip Biscotti,2.0
2023-01-02,Hell's Kitchen,Chocolate Croissant,3.0
2023-01-02,Hell's Kitchen,Columbian Medium Roast Lg,9.0
2023-01-02,Hell's Kitchen,Columbian Medium Roast Rg,3.0
2023-01-02,Hell's Kitchen,Columbian Medium Roast Sm,12.0
2023-01-02,Hell's Kitchen,Cranberry Scone,3.0
2023-01-02,Hell's Kitchen,Croissant,1.0
2023-01-02,Hell's Kitchen,Dark chocolate Lg,7.0
2023-01-02,Hell's Kitchen,Earl Grey Lg,3.0
2023-01-02,Hell's Kitchen,Earl Grey Rg,9.0
2023-01-02,Hell's Kitchen,English Breakfast Lg,5.0
2023-01-02,Hell's Kitchen,English Breakfast Rg,8.0
2023-01-02,Hell's Kitchen,Espresso shot,3.0
2023-01-02,Hell's Kitchen,Ethiopia Lg,10.0
2023-01-02,Hell's Kitchen,Ethiopia Rg,10.0
2023-01-02,Hell's Kitchen,Ethiopia Sm,6.0
2023-01-02,Hell's Kitchen,Ginger Biscotti,2.0
2023-01-02,Hell's Kitchen,Ginger Scone,3.0
2023-01-02,Hell's Kitchen,Hazelnut Biscotti,4.0
2023-01-02,Hell's Kitchen,Jamaican Coffee River Lg,8.0
2023-01-02,Hell's Kitchen,Jamaican Coffee River Rg,5.0
2023-01-02,Hell's Kitchen,Jamaican Coffee River Sm,6.0
2023-01-02,Hell's Kitchen,Jumbo Savory Scone,2.0
2023-01-02,Hell's Kitchen,Latte,4.0
2023-01-02,Hell's Kitchen,Latte Rg,3.0
2023-01-02,Hell's Kitchen,Lemon Grass Lg,6.0
2023-01-02,Hell's Kitchen,Lemon Grass Rg,3.0
2023-01-02,Hell's Kitchen,Morning Sunrise Chai Lg,6.0
2023-01-02,Hell's Kitchen,Morning Sunrise Chai Rg,3.0
2023-01-02,Hell's Kitchen,Our Old Time Diner Blend Lg,1.0
2023-01-02,Hell's Kitchen,Our Old Time Diner Blend Rg,9.0
2023-01-02,Hell's Kitchen,Our Old Time Diner Blend Sm,5.0
2023-01-02,Hell's Kitchen,Ouro Brasileiro shot,8.0
2023-01-02,Hell's Kitchen,Peppermint Lg,8.0
2023-01-02,Hell's Kitchen,Peppermint Rg,7.0
2023-01-02,Hell's Kitchen,Scottish Cream Scone ,2.0
2023-01-02,Hell's Kitchen,Serenity Green Tea Lg,8.0
2023-01-02,Hell's Kitchen,Serenity Green Tea Rg,11.0
2023-01-02,Hell's Kitchen,Spicy Eye Opener Chai Lg,5.0
2023-01-02,Hell's Kitchen,Spicy Eye Opener Chai Rg,5.0
2023-01-02,Hell's Kitchen,Sustainably Grown Organic Lg,7.0
2023-01-02,Hell's Kitchen,Sustainably Grown Organic Rg,2.0
2023-01-02,Hell's Kitchen,Traditional Blend Chai Lg,4.0
2023-01-02,Hell's Kitchen,Traditional Blend Chai Rg,8.0
2023-01-02,Lower Manhattan,Almond Croissant,2.0
2023-01-02,Lower Manhattan,Brazilian Lg,9.0
2023-01-02,Lower Manhattan,Brazilian Rg,6.0
2023-01-02,Lower Manhattan,Brazilian Sm,8.0
2023-01-02,Lower Manhattan,Cappuccino,1.0
2023-01-02,Lower Manhattan,Cappuccino Lg,2.0
2023-01-02,Lower Manhattan,Chocolate Chip Biscotti,1.0
2023-01-02,Lower Manhattan,Chocolate Croissant,1.0
2023-01-02,Lower Manhattan,Columbian Medium Roast Lg,2.0
2023-01-02,Lower Manhattan,Columbian Medium Roast Rg,6.0
2023-01-02,Lower Manhattan,Columbian Medium Roast Sm,7.0
2023-01-02,Lower Manhattan,Cranberry Scone,3.0
2023-01-02,Lower Manhattan,Croissant,5.0
2023-01-02,Lower Manhattan,Dark chocolate Lg,1.0
2023-01-02,Lower Manhattan,Dark chocolate Rg,4.0
2023-01-02,Lower Manhattan,Earl Grey Lg,6.0
2023-01-02,Lower Manhattan,Earl Grey Rg,3.0
2023-01-02,Lower Manhattan,English Breakfast Rg,11.0
2023-01-02,Lower Manhattan,Espresso shot,6.0
2023-01-02,Lower Manhattan,Ethiopia Lg,5.0
2023-01-02,Lower Manhattan,Ethiopia Rg,8.0
2023-01-02,Lower Manhattan,Ethiopia Sm,7.0
2023-01-02,Lower Manhattan,Ginger Biscotti,3.0
2023-01-02,Lower Manhattan,Hazelnut Biscotti,2.0
2023-01-02,Lower Manhattan,Jamaican Coffee River Sm,9.0
2023-01-02,Lower Manhattan,Jumbo Savory Scone,4.0
2023-01-02,Lower Manhattan,Latte,2.0
2023-01-02,Lower Manhattan,Latte Rg,3.0
2023-01-02,Lower Manhattan,Lemon Grass Lg,2.0
2023-01-02,Lower Manhattan,Lemon Grass Rg,6.0
2023-01-02,Lower Manhattan,Morning Sunrise Chai Lg,5.0
2023-01-02,Lower Manhattan,Morning Sunrise Chai Rg,3.0
2023-01-02,Lower Manhattan,Oatmeal Scone,3.0
2023-01-02,Lower Manhattan,Our Old Time Diner Blend Lg,2.0
2023-01-02,Lower Manhattan,Our Old Time Diner Blend Rg,5.0
2023-01-02,Lower Manhattan,Our Old Time Diner Blend Sm,5.0
2023-01-02,Lower Manhattan,Ouro Brasileiro shot,8.0
2023-01-02,Lower Manhattan,Peppermint Rg,6.0
2023-01-02,Lower Manhattan,Scottish Cream Scone ,4.0
2023-01-02,Lower Manhattan,Serenity Green Tea Lg,7.0
2023-01-02,Lower Manhattan,Serenity Green Tea Rg,3.0
2023-01-02,Lower Manhattan,Spicy Eye Opener Chai Lg,5.0
2023-01-02,Lower Manhattan,Spicy Eye Opener Chai Rg,5.0
2023-01-02,Lower Manhattan,Sustainably Grown Organic Lg,5.0
2023-01-02,Lower Manhattan,Sustainably Grown Organic Rg,6.0
2023-01-02,Lower Manhattan,Traditional Blend Chai Lg,2.0
2023-01-02,Lower Manhattan,Traditional Blend Chai Rg,8.0
2023-01-03,Astoria,Brazilian Lg,14.0
2023-01-03,Astoria,Brazilian Rg,8.0
2023-01-03,Astoria,Brazilian Sm,9.0
2023-01-03,Astoria,Cappuccino,5.0
2023-01-03,Astoria,Cappuccino Lg,7.0
2023-01-03,Astoria,Chocolate Chip Biscotti,3.0
2023-01-03,Astoria,Chocolate Croissant,2.0
2023-01-03,Astoria,Columbian Medium Roast Lg,10.0
2023-01-03,Astoria,Columbian Medium Roast Rg,5.0
2023-01-03,Astoria,Columbian Medium Roast Sm,6.0
2023-01-03,Astoria,Cranberry Scone,2.0
2023-01-03,Astoria,Croissant,2.0
2023-01-03,Astoria,Dark chocolate Lg,13.0
2023-01-03,Astoria,Dark chocolate Rg,5.0
2023-01-03,Astoria,Earl Grey Lg,8.0
2023-01-03,Astoria,Earl Grey Rg,6.0
2023-01-03,Astoria,English Breakfast Lg,9.0
2023-01-03,Astoria,English Breakfast Rg,9.0
2023-01-03,Astoria,Espresso shot,9.0
2023-01-03,Astoria,Ethiopia Lg,1.0
2023-01-03,Astoria,Ethiopia Rg,7.0
2023-01-03,Astoria,Ethiopia Sm,3.0
2023-01-03,Astoria,Ginger Biscotti,1.0
2023-01-03,Astoria,Ginger Scone,3.0
2023-01-03,Astoria,Hazelnut Biscotti,3.0
2023-01-03,Astoria,Jamaican Coffee River Lg,8.0
2023-01-03,Astoria,Jamaican Coffee River Rg,5.0
2023-01-03,Astoria,Jamaican Coffee River Sm,6.0
2023-01-03,Astoria,Jumbo Savory Scone,2.0
2023-01-03,Astoria,Latte,5.0
2023-01-03,Astoria,Latte Rg,9.0
2023-01-03,Astoria,Lemon Grass Lg,6.0
2023-01-03,Astoria,Lemon Grass Rg,4.0
2023-01-03,Astoria,Morning Sunrise Chai Lg,8.0
2023-01-03,Astoria,Morning Sunrise Chai Rg,11.0
2023-01-03,Astoria,Oatmeal Scone,2.0
2023-01-03,Astoria,Our Old Time Diner Blend Lg,10.0
2023-01-03,Astoria,Our Old Time Diner Blend Rg,6.0
2023-01-03,Astoria,Our Old Time Diner Blend Sm,7.0
2023-01-03,Astoria,Peppermint Lg,2.0
2023-01-03,Astoria,Peppermint Rg,2.0
2023-01-03,Astoria,Scottish Cream Scone ,2.0
2023-01-03,Astoria,Serenity Green Tea Lg,7.0
2023-01-03,Astoria,Serenity Green Tea Rg,6.0
2023-01-03,Astoria,Spicy Eye Opener Chai Lg,10.0
2023-01-03,Astoria,Spicy Eye Opener Chai Rg,3.0
2023-01-03,Astoria,Sustainably Grown Organic Lg,3.0
2023-01-03,Astoria,Sustainably Grown Organic Rg,7.0
2023-01-03,Astoria,Traditional Blend Chai Lg,5.0
2023-01-03,Astoria,Traditional Blend Chai Rg,1.0
2023-01-03,Hell's Kitchen,Almond Croissant,4.0
2023-01-03,Hell's Kitchen,Brazilian Lg,6.0
2023-01-03,Hell's Kitchen,Brazilian Rg,4.0
2023-01-03,Hell's Kitchen,Brazilian Sm,10.0
2023-01-03,Hell's Kitchen,Cappuccino,3.0
2023-01-03,Hell's Kitchen,Cappuccino Lg,3.0
2023-01-03,Hell's Kitchen,Chocolate Chip Biscotti,4.0
2023-01-03,Hell's Kitchen,Chocolate Croissant,1.0
2023-01-03,Hell's Kitchen,Columbian Medium Roast Lg,6.0
2023-01-03,Hell's Kitchen,Columbian Medium Roast Rg,4.0
2023-01-03,Hell's Kitchen,Columbian Medium Roast Sm,2.0
2023-01-03,Hell's Kitchen,Cranberry Scone,1.0
2023-01-03,Hell's Kitchen,Croissant,3.0
2023-01-03,Hell's Kitchen,Dark chocolate Lg,7.0
2023-01-03,Hell's Kitchen,Dark chocolate Rg,5.0
2023-01-03,Hell's Kitchen,Earl Grey Lg,3.0
2023-01-03,Hell's Kitchen,Earl Grey Rg,14.0
2023-01-03,Hell's Kitchen,English Breakfast Lg,5.0
2023-01-03,Hell's Kitchen,English Breakfast Rg,8.0
2023-01-03,Hell's Kitchen,Espresso shot,13.0
2023-01-03,Hell's Kitchen,Ethiopia Lg,4.0
2023-01-03,Hell's Kitchen,Ethiopia Rg,6.0
2023-01-03,Hell's Kitchen,Ethiopia Sm,3.0
2023-01-03,Hell's Kitchen,Ginger Biscotti,3.0
2023-01-03,Hell's Kitchen,Ginger Scone,3.0
2023-01-03,Hell's Kitchen,Hazelnut Biscotti,3.0
2023-01-03,Hell's Kitchen,Jamaican Coffee River Rg,7.0
2023-01-03,Hell's Kitchen,Jamaican Coffee River Sm,3.0
2023-01-03,Hell's Kitchen,Jumbo Savory Scone,2.0
2023-01-03,Hell's Kitchen,Latte,7.0
2023-01-03,Hell's Kitchen,Latte Rg,4.0
2023-01-03,Hell's Kitchen,Lemon Grass Lg,7.0
2023-01-03,Hell's Kitchen,Lemon Grass Rg,7.0
2023-01-03,Hell's Kitchen,Morning Sunrise Chai Lg,4.0
2023-01-03,Hell's Kitchen,Morning Sunrise Chai Rg,6.0
2023-01-03,Hell's Kitchen,Oatmeal Scone,2.0
2023-01-03,Hell's Kitchen,Our Old Time Diner Blend Lg,7.0
2023-01-03,Hell's Kitchen,Our Old Time Diner Blend Rg,7.0
2023-01-03,Hell's Kitchen,Our Old Time Diner Blend Sm,8.0
2023-01-03,Hell's Kitchen,Ouro Brasileiro shot,7.0
2023-01-03,Hell's Kitchen,Peppermint Lg,9.0
2023-01-03,Hell's Kitchen,Peppermint Rg,8.0
2023-01-03,Hell's Kitchen,Scottish Cream Scone ,3.0
2023-01-03,Hell's Kitchen,Serenity Green Tea Lg,4.0
2023-01-03,Hell's Kitchen,Serenity Green Tea Rg,13.0
2023-01-03,Hell's Kitchen,Spicy Eye Opener Chai Lg,3.0
2023-01-03,Hell's Kitchen,Spicy Eye Opener Chai Rg,6.0
2023-01-03,Hell's Kitchen,Sustainably Grown Organic Lg,15.0
2023-01-03,Hell's Kitchen,Sustainably Grown Organic Rg,6.0
2023-01-03,Hell's Kitchen,Traditional Blend Chai Lg,8.0
2023-01-03,Hell's Kitchen,Traditional Blend Chai Rg,14.0
2023-01-03,Lower Manhattan,Almond Croissant,3.0
2023-01-03,Lower Manhattan,Brazilian Lg,5.0
2023-01-03,Lower Manhattan,Brazilian Rg,11.0
2023-01-03,Lower Manhattan,Brazilian Sm,6.0
2023-01-03,Lower Manhattan,Cappuccino,3.0
2023-01-03,Lower Manhattan,Cappuccino Lg,2.0
2023-01-03,Lower Manhattan,Chocolate Chip Biscotti,1.0
2023-01-03,Lower Manhattan,Chocolate Croissant,3.0
2023-01-03,Lower Manhattan,Columbian Medium Roast Lg,4.0
2023-01-03,Lower Manhattan,Columbian Medium Roast Rg,8.0
2023-01-03,Lower Manhattan,Columbian Medium Roast Sm,3.0
2023-01-03,Lower Manhattan,Cranberry Scone,2.0
2023-01-03,Lower Manhattan,Croissant,3.0
2023-01-03,Lower Manhattan,Dark chocolate Lg,9.0
2023-01-03,Lower Manhattan,Dark chocolate Rg,5.0
2023-01-03,Lower Manhattan,Earl Grey Lg,9.0
2023-01-03,Lower Manhattan,Earl Grey Rg,9.0
2023-01-03,Lower Manhattan,English Breakfast Lg,5.0
2023-01-03,Lower Manhattan,English Breakfast Rg,3.0
2023-01-03,Lower Manhattan,Espresso shot,6.0
2023-01-03,Lower Manhattan,Ethiopia Lg,5.0
2023-01-03,Lower Manhattan,Ethiopia Rg,4.0
2023-01-03,Lower Manhattan,Ethiopia Sm,6.0
2023-01-03,Lower Manhattan,Ginger Biscotti,4.0
2023-01-03,Lower Manhattan,Ginger Scone,4.0
2023-01-03,Lower Manhattan,Jamaican Coffee River Lg,7.0
2023-01-03,Lower Manhattan,Jamaican Coffee River Rg,7.0
2023-01-03,Lower Manhattan,Jamaican Coffee River Sm,3.0
2023-01-03,Lower Manhattan,Jumbo Savory Scone,3.0
2023-01-03,Lower Manhattan,Latte,9.0
2023-01-03,Lower Manhattan,Latte Rg,7.0
2023-01-03,Lower Manhattan,Lemon Grass Lg,9.0
2023-01-03,Lower Manhattan,Lemon Grass Rg,3.0
2023-01-03,Lower Manhattan,Morning Sunrise Chai Lg,2.0
2023-01-03,Lower Manhattan,Morning Sunrise Chai Rg,11.0
2023-01-03,Lower Manhattan,Oatmeal Scone,3.0
2023-01-03,Lower Manhattan,Our Old Time Diner Blend Rg,2.0
2023-01-03,Lower Manhattan,Our Old Time Diner Blend Sm,6.0
2023-01-03,Lower Manhattan,Ouro Brasileiro shot,7.0
2023-01-03,Lower Manhattan,Peppermint Lg,8.0
2023-01-03,Lower Manhattan,Scottish Cream Scone ,4.0
2023-01-03,Lower Manhattan,Serenity Green Tea Lg,6.0
2023-01-03,Lower Manhattan,Serenity Green Tea Rg,2.0
2023-01-03,Lower Manhattan,Spicy Eye Opener Chai Lg,4.0
2023-01-03,Lower Manhattan,Spicy Eye Opener Chai Rg,8.0
2023-01-03,Lower Manhattan,Sustainably Grown Organic Lg,4.0
2023-01-03,Lower Manhattan,Sustainably Grown Organic Rg,2.0
2023-01-03,Lower Manhattan,Traditional Blend Chai Rg,1.0
2023-01-04,Astoria,Almond Croissant,3.0
2023-01-04,Astoria,Brazilian Lg,6.0
2023-01-04,Astoria,Brazilian Rg,5.0
2023-01-04,Astoria,Brazilian Sm,5.0
2023-01-04,Astoria,Cappuccino,2.0
2023-01-04,Astoria,Cappuccino Lg,2.0
2023-01-04,Astoria,Chocolate Chip Biscotti,3.0
2023-01-04,Astoria,Chocolate Croissant,6.0
2023-01-04,Astoria,Columbian Medium Roast Lg,9.0
2023-01-04,Astoria,Columbian Medium Roast Rg,7.0
2023-01-04,Astoria,Columbian Medium Roast Sm,4.0
2023-01-04,Astoria,Cranberry Scone,2.0
2023-01-04,Astoria,Dark chocolate Lg,11.0
2023-01-04,Astoria,Dark chocolate Rg,7.0
2023-01-04,Astoria,Earl Grey Lg,6.0
